"API Gateway URL","Gateway-URL der Programmierschnittstelle"
"Accepted Currency","Akzeptierte Währung"
"An error has occurred","Ein Fehler ist aufgetreten."
"Card Verification Number","Kreditkartenprüfnummer"
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Hier</a> klicken, um das Einkaufen fortzusetzen."
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Credit Card Type","Kreditkartentyp"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten-Verifizierung"
"Customer ID","Kundenidentifikationsbezeichnung"
"Customer was redirected to eWAY.","Kunde wurde zu eWAY weitergeleitet."
"Debug Flag","Debug-Anzeiger"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Name on Card","Name des Inhabers"
"Name on the Card: %s","Name des Inhabers: %s"
"New Order Status","Neuer Bestellstatus"
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Please Select","Bitte wählen"
"Selected currency code (%s) is not compatible with eWAY.","Ausgewähltes Währungskürzel (%s) ist nicht mit eWAY vereinbar."
"Sort Order","Sortierfolge"
"The customer has successfully returned from eWAY.","Der Kunde ist erfolgreich von eWAY zurückgekehrt."
"The customer was rejected by eWAY.","Der Kunde wurde von eWAY abgelehnt."
"There has been an error processing your payment.","Bei der Bearbeitung Ihrer Zahlung ist ein Fehler aufgetreten."
"There has been an error processing your payment. Please try later or contact us for help.","Bei der Bearbeitung Ihrer Zahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut oder nehmen Sie Kontakt mit uns auf."
"Title","Titel"
"Use Beagle Anti-Fraud","Beagle Anti-Fraud verwenden"
"What is this?","Was ist das?"
"You will be redirected to eWAY 3D-Secure in a few seconds.","Sie werden in einigen Sekunden zu eWAY 3D-Secure weitergeleitet."
"You will be redirected to eWAY 3D-Secure website when you place an order.","Sie werden zur Webseite von eWAY 3D-Secure weitergeleitet, wenn Sie eine Bestellung aufgeben."
"You will be redirected to eWAY in a few seconds.","Sie werden in einigen Sekunden zu eWAY weitergeleitet."
"You will be redirected to eWAY website when you place an order.","Sie werden zur Webseite von eWAY weitergeleitet, wenn Sie eine Bestellung aufgeben."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direct"
"eWAY Shared","eWAY Shared"
