"Absolute path to private certificate file.","Absoluter Pfad zur privaten Zertifikatsdatei."
"Absolute path to private key file.","Absoluter Pfad zur privaten Schlüsseldatei."
"Absolute path to public payment provider certificate file.","Absoluter Pfad zur Zertifikatsdatei des öffentlichen Zahlungsdienstleisters."
"An error has occurred","Ein Fehler ist aufgetreten."
"An error has occurred with the transaction #%s.","Im Rahmen der Transaktion #%s ist ein Fehler aufgetreten."
"An error has occurred. You will be redirected back to store.","Ein Fehler ist aufgetreten. Sie werden zurück zum Shop weitergeleitet."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. The transaction number is %s.","Bei der Bearbeitung Ihrer iDEAL-Transaktion ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Onlineshop oder versuchen Sie es später erneut. Die Transaktionsnummer lautet %s."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s.","Während Ihrer iDEAL Transaktion ist ein Fehler aufgetreten. Bitte setzen Sie sich mit dem Webshop in Verbindung oder versuchen Sie es später noch einmal. Ihre Transaktionsnummer ist %s."
"Begin to check transaction status if order was made {N} hours ago.","Beginn der Überprüfung des Transaktionsstatus, wenn die Bestellung vor {N} Stunden aufgegeben wurde."
"Check Begin","Überprüfungsbeginn"
"Check End","Überprüfungsende"
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Hier</a> klicken, um das Einkaufen fortzusetzen."
"Customer has canceled payment.","Der Kunde hat die Zahlung storniert."
"Customer has successfully returned from iDEAL.","Der Kunde ist erfolgreich von iDEAL zurückgekehrt."
"Customer was redirected to iDEAL. Please, check the status of the transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Der Kunde wurde zu iDEAL weitergeleitet. Bitte überprüfen Sie vor Lieferung der gekauften Waren den Status der Transaktion über das ING iDEAL Dashboard."
"Customer was rejected by iDEAL.","Der Kunde wurde von iDEAL abgelehnt."
"Debug","Fehlerbeseitigung"
"Do not check transaction status if order older than {N} days.","Keine Überprüfung des Transaktionsstatus, wenn die Bestellung älter als {N} Tage ist."
"Dutch","Niederländisch"
"Enabled","Aktiviert"
"English","Englisch"
"Ideal: %s","Ideal: %s"
"In minutes. Minimum is 1 minute and maximum is 60.","In Minuten. Das Minimum beträgt 1 Minute und das Maximum 60."
"Issuer","Aussteller"
"Issuer: %s","Aussteller: %s"
"Language","Sprache"
"Leave empty for default value.","Für Standardwert, Feld freilassen."
"Merchant ID","Händler-ID"
"Merchant Key","Verkäuferschlüssel"
"New Order Status","Neuer Bestellstatus"
"Notification from iDEAL was received with status %s.","Benachrichtigung von iDEAL mit Status %s erhalten."
"Notification from iDEAL was received with status %s. The invoice was created. Please check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Benachrichtigung von iDEAL mit Status %s erhalten. Die Rechnung wurde erstellt. Bitte überprüfen Sie den Status der Transaktion über das ING iDEAL Dashboard vor der Lieferung der gekauften Waren."
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Payment was canceled by the customer.","Zahlung wurde vom Kunden abgebrochen."
"Please Select","Bitte wählen"
"Private Certificate","Privates Zertifikat"
"Private Key","Privatschlüssel"
"Private Key Password","Passwort für Privatschlüssel"
"Required fields are missing.","Pflichtfelder sind leer."
"Secure URL (production)","Sichere URL (Produktion)"
"Secure URL (test mode)","Sichere URL (Testmodus)"
"Selected currency code (%s) is not compatible with iDEAL.","Gewählter Währungscode (%s) ist nicht mit iDEAL kompatibel."
"Sort Order","Sortierfolge"
"Store name will be used if left empty.","Shopname wird verwendet falls Feld leer ist."
"Test Mode","Testmodus"
"The customer canceled payment.","Der Kunde hat die Zahlung abgebrochen."
"The customer has returned from iDEAL.","Der Kunde ist von iDEAL zurückgekommen."
"The customer was redirected to iDEAL.","Der Kunde wurde zu iDEAL weitergeleitet."
"Title","Titel"
"Transaction Description","Transaktionsbeschreibung"
"Transaction Expire Period","Zeitraum bis zum Ablauf der Transaktion"
"Transaction Status Update: canceled by the customer.","Statusupdate der Transaktion: durch den Kunden storniert."
"Transaction Status Update: finished successfully.","Statusupdate der Transaktion: erfolgreich abgeschlossen."
"Transaction Status Update: rejected by iDEAL.","Statusupdate der Transaktion: von iDEAL abgelehnt."
"You will be redirected to bank in a few seconds.","Sie werden in wenigen Sekunden an die Bank weitergeleitet."
"You will be redirected to iDEAL in a few seconds.","Sie werden in wenigen Sekunden zu iDEAL weitergeleitet."
"You will be redirected to the website of your bank when you place an order.","Sie werden zur Webseite Ihrer Bank weitergeleitet, wenn Sie eine Bestellung aufgeben."
"iDEAL Advanced","iDEAL Advanced"
"iDEAL Basic","iDEAL Basic"
"iDEAL Certificate","iDEAL-Zertifikat"
