"AUTHENTICATE","AUTHENTISIEREN"
"An error has occurred","Ein Fehler ist aufgetreten."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Hier</a> klicken, um das Einkaufen fortzusetzen."
"Customer was redirected to Protx","Kunde wurde zu Protx weitergeleitet"
"DEFERRED","ZURÜCKGESTELLT"
"Debug","Fehlerbeseitigung"
"Enabled","Aktiviert"
"General contact email will be used if left empty.","Wenn leer gelassen, wird die allgemeine Kontakt-E-Mail-Adresse verwendet."
"Live","Live"
"Mode","Modus"
"New Order Status","Neuer Bestellstatus"
"Order total amount does not match protx gross total amount","Gesamtbetrag der Bestellung entspricht nicht dem Brutto-Gesamtbetrag von protx"
"PAYMENT","ZAHLUNG"
"Payment Action","Zahlungsaktion"
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Protx Standard","Protx Standard"
"Simulator","Simulator"
"Sort Order","Sortierfolge"
"Store name will be used if left empty.","Shopname wird verwendet falls Feld leer ist."
"Test","Test"
"The customer has returned from Protx.","Der Kunde ist von Protx zurückgekehrt."
"The order %s was canceled by the customer.","Die Bestellung %s wurde vom Kunden storniert."
"Title","Titel"
"Transaction Description","Transaktionsbeschreibung"
"Vendor Email","E-Mail des Verkäufers"
"Vendor Email Notification","E-Mail-Benachrichtigung des Verkäufers"
"Vendor Encrypted Password","Verschlüsseltes Passwort des Verkäufers"
"Vendor Name","Name des Verkäufers"
"You will be redirected to protx in a few seconds.","Sie werden in wenigen Sekunden zu protx weitergeleitet."
"You will be redirected to the Protx website when you place an order.","Sie werden zur Webseite von Protx weitergeleitet, wenn Sie eine Bestellung aufgeben."
