"%s is not a supported currency.","%s no es una divisa soportada."
"Accept","Aceptar"
"Basic","Básico"
"Cannot retrieve rate from %s to %s.","No se puede obtener la tasa desde %s a %s."
"Cannot retrieve rate from Strikeiron.","No se puede obtener la tasa desde Strikeiron."
"Check All Email Servers","Comprobar Todos los Servidores de Correo Electrónico"
"Complete","Completar"
"Country/Region/Postal Code Combination","Combinación País/Provincia/Código Postal"
"Customer Tax Class","Tipo de Impuesto al Cliente"
"Email Verification","Verificación de Correo Electrónico"
"Enable Email Verification","Activar Verificación de Correo Electrónico"
"Enable Foreign Exchange Rate","Activar Tasa de Cambio"
"Enable Global Address Verification","Activar Verificación de Dirección Global"
"Enable Sales and Use Tax","Activar Impuesto sobre Ventas y Uso"
"Enable US Address Verification","Activar Verificación de Dirección US"
"Error Address Action","Error en Acción de Dirección"
"Error Email Recipient","Error en el Destinatario del Correo Electrónico"
"Error Email Sender","Error en el Remitente del Correo Electrónico"
"Error Email Template","Error en la Plantilla del Correo Electrónico"
"Foreign Exchange Rates","Tasas de Cambio"
"Global Address Verification","Verificación de Dirección Global"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si el tipo está en completo y el código postal corresponde a las tasas de impuestos múltiples, elige entre cargar la tasa de impuestos mínima o máxima."
"Invalid email address.","Dirección de correo electrónico no válida."
"Maximum Tax Rate","Tasa de Impuestos Máxima"
"Minimum Tax Rate","Tasa de Impuestos Mínima"
"Password","Contraseña"
"Pop up warning and accept","Advertencia emergente y aceptar"
"Product Tax Class","Tipo de Impuesto al Producto"
"Reject","Rechazar"
"Sales and Use Tax","Impuesto sobre Ventas y Uso"
"Sales and Use Tax Type","Tipo de Impuesto sobre Ventas y Uso"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuración Strikeiron"
"Strikeiron Section","Sección Strikeiron"
"Strikeiron foreign exchange rate is disabled.","La tasa de cambio Strikeiron está desactivado."
"Tax","Impuestos"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","La dirección de correo electrónico no puede ser verificada. Por favor, compruebe nuevamente y asegúrese de introducir correctamente su dirección de correo electrónico."
"There are no more hits remaining for the foreign Exchange Rate Service.","Se han excedido las conexiones para el servicio de Tipo de Cambio de Divisa.
"
"There is an error in retrieving the tax rate. Please contact us.","Se produjo un error al recuperar la tasa de impuestos. Por favor, contacte con nosotros."
"There is an error in verifying an email. Please contact us.","Se produjo un error al verificar un correo electrónico. Por favor, contacte con nosotros."
"There is no response back from Strikeiron server.","No hay respuesta desde el servidor de Strikeiron."
"US Address Verification","Verificación de Dirección US"
"Undetermined Email Action","Acción de Correo Electrónico Indeterminada"
"Use","Usar"
"User ID","ID de Usuario"
"Verify Address in Admin","Verificar Dirección en Admin"
"Verify Email in Admin","Verificar Correo Electrónico en Admin"
