"Authorization","Autorización"
"Card Verification Number","Número de Verificación de Tarjeta"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Credit Card Verification","Verificación de Tarjeta de Crédito"
"Cybersource (SOAP Toolkit)","Cybersource (Herramientas SOAP)"
"Debug","Depurar"
"Enabled","Habilitado"
"Error in refunding the payment.","Error al reintegrar el pago."
"Expiration Date","Fecha de Caducidad"
"Gateway request error: %s","Error de petición de acceso: %s"
"Invalid transaction id or token","Identificación o credencial de transacción inválida."
"Issue Number","Número de Emisión"
"JCB","JCB"
"Laser","Láser"
"Maestro (International)","Maestro (Internacional)"
"Maestro/Solo(UK Domestic)","Maestro/Solo(Nacional del Reino Unido)"
"Merchant ID","Identificación de Comerciante"
"Name on Card","Nombre en la Tarjeta"
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"New Order Status","Estado de los nuevos pedidos"
"Payment Action","Acción de Pago"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"SOAP extension is not enabled. Please contact us.","Extensión SOAP no habilitada. Por favor, contacte con nosotros."
"Sale","Venta"
"Security Key","Clave de seguridad"
"Sort Order","Orden de selección"
"Start Date","Fecha de Inicio"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Unicamente"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número de emisión de tarjeta: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) fecha de activación de la tarjeta: %s%s"
"Test Mode","Modo de prueba"
"There is an error in processing the payment. Please try again or contact us.","Hay un error en el proceso de pago. Por favor, inténtelo de nuevo o contáctenos."
"Title","Título"
"UATP","UATP"
"What is this?","¿Qué es esto?"
"Year","Año"
