"API Gateway URL","URL de puerta de enlace API"
"Accepted Currency","Moneda Aceptada"
"An error has occurred","Ha ocurrido un error"
"Card Verification Number","Número de Verificación de Tarjeta"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aquí</a> para continuar comprando."
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Credit Card Verification","Verificación de Tarjeta de Crédito"
"Customer ID","ID del cliente"
"Customer was redirected to eWAY.","El cliente ha sido redirigido a eWAY"
"Debug Flag","Opción Depurar"
"Enabled","Habilitado"
"Expiration Date","Fecha de Caducidad"
"Name on Card","Nombre en la Tarjeta"
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"New Order Status","Estado de los nuevos pedidos"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Please Select","Por favor seleccione"
"Selected currency code (%s) is not compatible with eWAY.","El código de moneda seleccionado (%s) no es compatible con eWAY."
"Sort Order","Orden de selección"
"The customer has successfully returned from eWAY.","El cliente ha regresado con éxito de eWAY"
"The customer was rejected by eWAY.","El cliente ha sido rechazado por eWAY."
"There has been an error processing your payment.","Ha habido un error al procesar su pago."
"There has been an error processing your payment. Please try later or contact us for help.","Ha habido un error al procesar su pago. Por favor, inténtelo de nuevo más tarde o contacte con nosotros si necesita ayuda."
"Title","Título"
"Use Beagle Anti-Fraud","Utilizar Rastreador Anti-Fraude"
"What is this?","¿Qué es esto?"
"You will be redirected to eWAY 3D-Secure in a few seconds.","Se le reenviará a eWAY 3D-Secure en unos pocos segundos."
"You will be redirected to eWAY 3D-Secure website when you place an order.","Se le reenviará a la página web de eWAY 3D-Secure cuando realice un pedido."
"You will be redirected to eWAY in a few seconds.","Se le reenviará a eWAY en unos pocos segundos."
"You will be redirected to eWAY website when you place an order.","Se le reenviará a la página web de eWAY cuando realice un pedido."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAT Directo"
"eWAY Shared","eWAY Compartido"
