"Absolute path to private certificate file.","Chemin absolu vers fichier de certificat privé."
"Absolute path to private key file.","Chemin absolu vers fichier de clé privée."
"Absolute path to public payment provider certificate file.","Chemin absolu vers fichier de certificat de fournisseur de paiement public."
"An error has occurred","Une erreur s'est produite"
"An error has occurred with the transaction #%s.","Une erreur s'est produite lors de la tansaction #%s."
"An error has occurred. You will be redirected back to store.","Une erreur s'est produite. Vous allez être redirigé vers le magasin."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. The transaction number is %s.","Une erreur s'est produite lors du traitement de votre transaction iDEAL. Veuillez contacter la boutique web ou réessayer plus tard. Le numéro de la transaction est %s."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s.","Une erreur est survenue lors du traitement de votre transaction iDEAL. Veuillez contacter la boutique en ligne ou réessayer plus tard. Le numéro de suivi est %s."
"Begin to check transaction status if order was made {N} hours ago.","Commencez à vérifier le statut de la transaction si une commande a été passée il y a {N} heures."
"Check Begin","Vérifiez début"
"Check End","Vérifiez fin"
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats"
"Customer has canceled payment.","Le client a annulé le paiement."
"Customer has successfully returned from iDEAL.","Le client est passé par iDEAL avec succès."
"Customer was redirected to iDEAL. Please, check the status of the transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Le client a été redirigé vers iDEAL. Veuillez vérifier le statut de la transaction via le tableau de bord ING iDEAL avant la livraison des produits achetés."
"Customer was rejected by iDEAL.","Le client a été refusé par iDEAL."
"Debug","Déboguer"
"Do not check transaction status if order older than {N} days.","Ne vérifiez pas le statut de la transaction si la commande date de plus de {N} jours."
"Dutch","Néerlandais"
"Enabled","Actif"
"English","Anglais"
"Ideal: %s","Idéal : %s"
"In minutes. Minimum is 1 minute and maximum is 60.","En minutes. Minimum, 1 minute et maximum, 60."
"Issuer","Emetteur"
"Issuer: %s","Emetteur : %s"
"Language","Langue"
"Leave empty for default value.","Laisser en blanc pour la valeur par défaut."
"Merchant ID","ID commerçant"
"Merchant Key","Clé marchand"
"New Order Status","Nouveau statut commande"
"Notification from iDEAL was received with status %s.","Une notification de iDEAL a été reçue avec le statut %s."
"Notification from iDEAL was received with status %s. The invoice was created. Please check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Une notification de iDEAL a été reçue avec le statut %s. La facture a été créée. Veuillez vérifier le statut des transactions via le tableau de bord ING iDEAL avant la livraison des produits achetés."
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Payment was canceled by the customer.","Le paiement a été annulé par le client."
"Please Select","Veuillez choisir"
"Private Certificate","Certificat privé"
"Private Key","Clé privée"
"Private Key Password","Mot de passe de la clé privée"
"Required fields are missing.","Des champs obligatoires manquent."
"Secure URL (production)","URL sécurisé (production)"
"Secure URL (test mode)","URL sécurisé (mode test)"
"Selected currency code (%s) is not compatible with iDEAL.","Le code de sélection de la devise (%s) n'est pas compatible avec iDEAL."
"Sort Order","Trier la commande"
"Store name will be used if left empty.","Le nom du magasin sera utilisé si laissé en blanc."
"Test Mode","Mode test"
"The customer canceled payment.","Le client a annulé le paiement."
"The customer has returned from iDEAL.","Le client est passé par iDEAL."
"The customer was redirected to iDEAL.","Le client a été redirigé vers iDEAL."
"Title","Titre"
"Transaction Description","Description de la transaction"
"Transaction Expire Period","Période d'expiration de la transaction"
"Transaction Status Update: canceled by the customer.","Mise à jour du statut de la transaction : annulée par le client."
"Transaction Status Update: finished successfully.","Mise à jour du statut de la transaction : réalisée avec succès"
"Transaction Status Update: rejected by iDEAL.","Mise à jour du statut de la transaction : refusée par iDEAL"
"You will be redirected to bank in a few seconds.","Vous allez être redirigé vers la banque dans quelques secondes."
"You will be redirected to iDEAL in a few seconds.","Vous allez être redirigé vers iDEAL dans quelques secondes."
"You will be redirected to the website of your bank when you place an order.","Vous serez redirigé vers le site web de votre banque lorsque vous passerez une commande."
"iDEAL Advanced","iDEAL avancé"
"iDEAL Basic","iDEAL de base"
"iDEAL Certificate","Certificat iDEAL"
