"AUTHENTICATE","AUTHENTIFIER"
"An error has occurred","Une erreur s'est produite"
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats"
"Customer was redirected to Protx","Le client a été redirigé vers Protx"
"DEFERRED","DIFFERE"
"Debug","Déboguer"
"Enabled","Actif"
"General contact email will be used if left empty.","Le courriel de contact général sera utilisé si laissé en blanc."
"Live","En direct"
"Mode","Mode"
"New Order Status","Nouveau statut commande"
"Order total amount does not match protx gross total amount","Le montant total de la commande ne correspond pas au montant brut protx"
"PAYMENT","PAIEMENT"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Protx Standard","Norme Protx"
"Simulator","Simulateur"
"Sort Order","Trier la commande"
"Store name will be used if left empty.","Le nom du magasin sera utilisé si laissé en blanc."
"Test","Test"
"The customer has returned from Protx.","Le client est passé par Protx"
"The order %s was canceled by the customer.","La commande  %s a été annulée par le client."
"Title","Titre"
"Transaction Description","Description de la transaction"
"Vendor Email","Courriel vendeur"
"Vendor Email Notification","Notification courriel vendeur"
"Vendor Encrypted Password","Mot de passe vendeur crypté"
"Vendor Name","Nom du vendeur"
"You will be redirected to protx in a few seconds.","Vous allez être redirigé vers protx dans quelques secondes."
"You will be redirected to the Protx website when you place an order.","Vous serez redirigé vers le site web Protx lorsque vous passerez une commande."
