"Absolute path to private certificate file.","Absoluut pad voor privaat gecertificeerd bestand."
"Absolute path to private key file.","Absoluut pad voor privaat sleutelbestand."
"Absolute path to public payment provider certificate file.","Absoluut pad voor openbaar betaalde provider gecertificeerd bestand."
"An error has occurred","Er heeft zich een fout voorgedaan"
"An error has occurred with the transaction #%s.","Er heeft zich een fout voorgedaan met transactie #%s."
"An error has occurred. You will be redirected back to store.","Er heeft zich een fout voorgedaan. U keert terug naar de winkel."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. The transaction number is %s.","Er heeft zich een fout voorgedaan tijdens de verwerking van de iDEAL transactie. Neem a.u.b. contact op met de webwinkel of probeer het later nogmaals. Het transactienummer is %s."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s.","Er is iets misgegaan bij het verwerken van uw iDEAL transactie. Neem contact op met de webwinkel of probeer het later nog eens. Het transactienummer is %s."
"Begin to check transaction status if order was made {N} hours ago.","Check de status van de transactie als de bestelling {N} uur geleden in gedaan."
"Check Begin","Check het Begin"
"Check End","Check het Einde"
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">here</a> om door te gaan met winkelen."
"Customer has canceled payment.","De klant heeft de betaling geannuleerd."
"Customer has successfully returned from iDEAL.","De klant is succesvol teruggekeerd vanuit iDEAL."
"Customer was redirected to iDEAL. Please, check the status of the transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","De klant is teruggestuurd naar iDEAL. Check a.u.b. de status van de transactie via het ING iDEAL Dashboard vóór levering van de aangeschafte producten."
"Customer was rejected by iDEAL.","De klant is geweigerd door iDEAL."
"Debug","Debug"
"Do not check transaction status if order older than {N} days.","Check de status van de transactie niet als deze ouder is dan {N}  dagen."
"Dutch","Nederlands"
"Enabled","Aan"
"English","Engels"
"Ideal: %s","Ideal: %s"
"In minutes. Minimum is 1 minute and maximum is 60.","In minuten. Minimum van 1 en maximum van 60 minuten."
"Issuer","Verstrekker"
"Issuer: %s","Verstrekker. %s"
"Language","Taal"
"Leave empty for default value.","Laat leeg voor systeemgekozen waarde."
"Merchant ID","Verkopers Identificatie"
"Merchant Key","Handels Toets"
"New Order Status","Nieuwe Status van de Bestelling"
"Notification from iDEAL was received with status %s.","Mededeling van iDEAL is ontvangen met status %s."
"Notification from iDEAL was received with status %s. The invoice was created. Please check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Mededeling van iDEAL is ontvangen met status %s. De factuur is gemaakt. Check a.u.b. de status van een transactie via het ING iDEAL Dashboard vóór levering van de aangeschafte producten."
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment was canceled by the customer.","Betaling is geannuleerd door de klant."
"Please Select","Selecteer A.U.B."
"Private Certificate","Privé Certificaat"
"Private Key","Privé Sleutel"
"Private Key Password","Privé Sleutel Wachtwoord"
"Required fields are missing.","Gevraagde rubrieken ontbreken."
"Secure URL (production)","Borg URL (productie)"
"Secure URL (test mode)","Borg URL (test modus)"
"Selected currency code (%s) is not compatible with iDEAL.","Geselecteerde valuta code (%s) komt niet overeen met iDEAL."
"Sort Order","Sorteer Bestelling"
"Store name will be used if left empty.","Opgeslagen naam zal worden gebruikt als u niks invult."
"Test Mode","Test modus"
"The customer canceled payment.","De klant heeft de betaling geannuleerd."
"The customer has returned from iDEAL.","De klant is teruggekeerd vanuit iDEAL."
"The customer was redirected to iDEAL.","De klant is teruggestuurd naar iDEAL."
"Title","Titel"
"Transaction Description","Transactie Beschrijving"
"Transaction Expire Period","Periode waarbinnen transactie verloopt"
"Transaction Status Update: canceled by the customer.","Transactie status update: geannuleerd door de klant."
"Transaction Status Update: finished successfully.","Transactie status update: succesvol afgerond."
"Transaction Status Update: rejected by iDEAL.","Transactie status update: afgewezen door iDEAL."
"You will be redirected to bank in a few seconds.","U zal binnen enkele seconden doorverwezen worden naar uw bank."
"You will be redirected to iDEAL in a few seconds.","U zult doorverwezen worden naar iDEAL binnen enkele seconden."
"You will be redirected to the website of your bank when you place an order.","U zult doorverwezen worden naar de website van uw bank wanneer u een bestelling doet."
"iDEAL Advanced","iDEAL gevanceerd"
"iDEAL Basic","iDEAL basis"
"iDEAL Certificate","iDEAL certificaat"
